timestamp,memory,cpu,gpupower0,gputemp0,gpumemory0,gputotalmemory0,gpuutil0
2025-05-21 09:54:43.540986,2055139328,9.3,40.78,43.0,1790,12282,8
2025-05-21 09:54:49.582897,2138411008,0.8,41.1,43.0,1827,12282,5
2025-05-21 09:54:55.622840,2140151808,1.2,40.58,43.0,1822,12282,4
2025-05-21 09:55:01.661646,2143551488,2.8,40.4,43.0,1788,12282,4
2025-05-21 09:55:07.702142,2182316032,0.6,40.93,44.0,1740,12282,6
2025-05-21 09:55:13.739749,2182918144,0.8,40.61,45.0,1756,12282,4
2025-05-21 09:55:19.784566,2190823424,0.6,40.89,45.0,1735,12282,4
2025-05-21 09:55:25.826508,2196926464,0.9,41.11,46.0,1733,12282,4
2025-05-21 09:55:31.864498,2205507584,2.8,41.3,46.0,1725,12282,4
2025-05-21 09:55:37.901184,2204442624,0.3,41.12,47.0,1738,12282,4
2025-05-21 09:55:43.943603,2208129024,0.8,41.43,48.0,1728,12282,8
2025-05-21 09:55:49.982765,2206859264,0.7,41.36,48.0,1737,12282,4
2025-05-21 09:55:56.026384,2207301632,1.5,41.67,49.0,1751,12282,4
2025-05-21 09:56:02.066375,2206023680,1.3,41.37,49.0,1744,12282,4
2025-05-21 09:56:08.105132,2210381824,1.2,41.54,50.0,1744,12282,4
2025-05-21 09:56:14.150701,2209325056,2.4,41.68,50.0,1762,12282,4
2025-05-21 09:56:20.190566,2224525312,0.9,41.62,51.0,1747,12282,4
2025-05-21 09:56:26.229583,2220638208,1.1,41.8,51.0,1733,12282,4
2025-05-21 09:56:32.268089,2219495424,0.8,41.67,52.0,1719,12282,4
2025-05-21 09:56:38.304479,2267123712,1.0,41.96,52.0,1755,12282,4
2025-05-21 09:56:44.344952,2283646976,0.4,41.97,52.0,1758,12282,4
2025-05-21 09:56:50.379861,2281197568,0.7,41.99,53.0,1750,12282,3
2025-05-21 09:56:56.418485,2281918464,1.1,42.17,53.0,1733,12282,5
2025-05-21 09:57:02.459127,2286055424,0.9,42.06,54.0,1722,12282,5
2025-05-21 09:57:08.500994,2280140800,0.3,42.24,54.0,1751,12282,4
2025-05-21 09:57:14.542920,2280042496,0.3,42.17,54.0,1742,12282,4
2025-05-21 09:57:20.584790,2280833024,0.8,42.16,55.0,1745,12282,4
2025-05-21 09:57:26.621119,2278301696,0.8,42.29,55.0,1739,12282,4
2025-05-21 09:57:32.660405,2288246784,1.2,42.26,55.0,1732,12282,4
2025-05-21 09:57:38.705273,2288680960,1.1,42.46,56.0,1739,12282,4
2025-05-21 09:57:44.747102,2290749440,1.6,42.35,56.0,1732,12282,4
2025-05-21 09:57:50.790307,2233548800,1.0,42.44,56.0,1728,12282,4
2025-05-21 09:57:56.832007,2234077184,1.1,42.49,57.0,1733,12282,4
2025-05-21 09:58:02.869730,2235215872,0.7,42.45,56.0,1722,12282,4
2025-05-21 09:58:08.910932,2230927360,1.0,43.07,55.0,1753,12282,9
2025-05-21 09:58:14.997146,2229850112,1.6,42.14,53.0,1746,12282,4
2025-05-21 09:58:21.034475,2183786496,0.8,42.11,52.0,1743,12282,5
